IDIndikator;skrIndikator;IDTer;nTer;God+Mes;nVrTacka;nProizvod;IDVrPod;nVrPod;Vrednost;IDStatusPodatka;nStatusPodatka;IDStatusPoverljivosti;nStatusPoverljivosti;IDJedinicaMere;nJedinicaMere
130102IND01;Biljna prizvodnja, od 2005;RS11;Beogradski region;201300;2013;Pšenica;3;prinos, t/ha;4.2;A;Konačan podatak;F;Slobodan za objavlјivanje;;
130102IND01;Biljna prizvodnja, od 2005;RS11;Beogradski region;201300;2013;Ječam;1;požnjevena površina, ha / rodna površina, ha;7170;A;Konačan podatak;F;Slobodan za objavlјivanje;;
130102IND01;Biljna prizvodnja, od 2005;RS11;Beogradski region;201300;2013;Ječam;2;ukupan prinos, t;29478;A;Konačan podatak;F;Slobodan za objavlјivanje;;
130102IND01;Biljna prizvodnja, od 2005;RS11;Beogradski region;201300;2013;Ječam;3;prinos, t/ha;4.1;A;Konačan podatak;F;Slobodan za objavlјivanje;;
130102IND01;Biljna prizvodnja, od 2005;RS11;Beogradski region;201300;2013;Kukuruz;1;požnjevena površina, ha / rodna površina, ha;43516;A;Konačan podatak;F;Slobodan za objavlјivanje;;
130102IND01;Biljna prizvodnja, od 2005;RS11;Beogradski region;201300;2013;Kukuruz;2;ukupan prinos, t;215452;A;Konačan podatak;F;Slobodan za objavlјivanje;;
130102IND01;Biljna prizvodnja, od 2005;RS11;Beogradski region;201300;2013;Kukuruz;3;prinos, t/ha;5.0;A;Konačan podatak;F;Slobodan za objavlјivanje;;
130102IND01;Biljna prizvodnja, od 2005;RS11;Beogradski region;201400;2014;Pšenica;1;požnjevena površina, ha / rodna površina, ha;28857;A;Konačan podatak;F;Slobodan za objavlјivanje;;
130102IND01;Biljna prizvodnja, od 2005;RS11;Beogradski region;201400;2014;Pšenica;2;ukupan prinos, t;112014;A;Konačan podatak;F;Slobodan za objavlјivanje;;
130102IND01;Biljna prizvodnja, od 2005;RS11;Beogradski region;201400;2014;Pšenica;3;prinos, t/ha;3.9;A;Konačan podatak;F;Slobodan za objavlјivanje;;
130102IND01;Biljna prizvodnja, od 2005;RS11;Beogradski region;201400;2014;Ječam;1;požnjevena površina, ha / rodna površina, ha;7183;A;Konačan podatak;F;Slobodan za objavlјivanje;;
130102IND01;Biljna prizvodnja, od 2005;RS11;Beogradski region;201400;2014;Ječam;2;ukupan prinos, t;26310;A;Konačan podatak;F;Slobodan za objavlјivanje;;
130102IND01;Biljna prizvodnja, od 2005;RS11;Beogradski region;201400;2014;Ječam;3;prinos, t/ha;3.7;A;Konačan podatak;F;Slobodan za objavlјivanje;;
130102IND01;Biljna prizvodnja, od 2005;RS11;Beogradski region;201400;2014;Kukuruz;1;požnjevena površina, ha / rodna površina, ha;46958;A;Konačan podatak;F;Slobodan za objavlјivanje;;
130102IND01;Biljna prizvodnja, od 2005;RS11;Beogradski region;201400;2014;Kukuruz;2;ukupan prinos, t;292132;A;Konačan podatak;F;Slobodan za objavlјivanje;;
130102IND01;Biljna prizvodnja, od 2005;RS11;Beogradski region;201400;2014;Kukuruz;3;prinos, t/ha;6.2;A;Konačan podatak;F;Slobodan za objavlјivanje;;
130102IND01;Biljna prizvodnja, od 2005;RS11;Beogradski region;201500;2015;Pšenica;1;požnjevena površina, ha / rodna površina, ha;28934;A;Konačan podatak;F;Slobodan za objavlјivanje;;
130102IND01;Biljna prizvodnja, od 2005;RS11;Beogradski region;201500;2015;Pšenica;2;ukupan prinos, t;110111;A;Konačan podatak;F;Slobodan za objavlјivanje;;
130102IND01;Biljna prizvodnja, od 2005;RS11;Beogradski region;201500;2015;Pšenica;3;prinos, t/ha;3.8;A;Konačan podatak;F;Slobodan za objavlјivanje;;
130102IND01;Biljna prizvodnja, od 2005;RS11;Beogradski region;201500;2015;Ječam;1;požnjevena površina, ha / rodna površina, ha;6466;A;Konačan podatak;F;Slobodan za objavlјivanje;;
130102IND01;Biljna prizvodnja, od 2005;RS11;Beogradski region;201500;2015;Ječam;2;ukupan prinos, t;25322;A;Konačan podatak;F;Slobodan za objavlјivanje;;
130102IND01;Biljna prizvodnja, od 2005;RS11;Beogradski region;201500;2015;Ječam;3;prinos, t/ha;3.9;A;Konačan podatak;F;Slobodan za objavlјivanje;;
130102IND01;Biljna prizvodnja, od 2005;RS11;Beogradski region;201500;2015;Kukuruz;1;požnjevena površina, ha / rodna površina, ha;43724;A;Konačan podatak;F;Slobodan za objavlјivanje;;
130102IND01;Biljna prizvodnja, od 2005;RS11;Beogradski region;201500;2015;Kukuruz;2;ukupan prinos, t;223998;A;Konačan podatak;F;Slobodan za objavlјivanje;;
130102IND01;Biljna prizvodnja, od 2005;RS11;Beogradski region;201500;2015;Kukuruz;3;prinos, t/ha;5.1;A;Konačan podatak;F;Slobodan za objavlјivanje;;
130102IND01;Biljna prizvodnja, od 2005;RS11;Beogradski region;201600;2016;Pšenica;1;požnjevena površina, ha / rodna površina, ha;29136;A;Konačan podatak;F;Slobodan za objavlјivanje;;
130102IND01;Biljna prizvodnja, od 2005;RS11;Beogradski region;201600;2016;Pšenica;2;ukupan prinos, t;126981;A;Konačan podatak;F;Slobodan za objavlјivanje;;
130102IND01;Biljna prizvodnja, od 2005;RS11;Beogradski region;201600;2016;Pšenica;3;prinos, t/ha;4.4;A;Konačan podatak;F;Slobodan za objavlјivanje;;
130102IND01;Biljna prizvodnja, od 2005;RS11;Beogradski region;201600;2016;Ječam;1;požnjevena površina, ha / rodna površina, ha;5024;A;Konačan podatak;F;Slobodan za objavlјivanje;;
130102IND01;Biljna prizvodnja, od 2005;RS11;Beogradski region;201600;2016;Ječam;2;ukupan prinos, t;21357;A;Konačan podatak;F;Slobodan za objavlјivanje;;
130102IND01;Biljna prizvodnja, od 2005;RS11;Beogradski region;201600;2016;Ječam;3;prinos, t/ha;4.3;A;Konačan podatak;F;Slobodan za objavlјivanje;;
130102IND01;Biljna prizvodnja, od 2005;RS11;Beogradski region;201600;2016;Kukuruz;1;požnjevena površina, ha / rodna površina, ha;43023;A;Konačan podatak;F;Slobodan za objavlјivanje;;
130102IND01;Biljna prizvodnja, od 2005;RS11;Beogradski region;201600;2016;Kukuruz;2;ukupan prinos, t;259041;A;Konačan podatak;F;Slobodan za objavlјivanje;;
130102IND01;Biljna prizvodnja, od 2005;RS11;Beogradski region;201600;2016;Kukuruz;3;prinos, t/ha;6.0;A;Konačan podatak;F;Slobodan za objavlјivanje;;
130102IND01;Biljna prizvodnja, od 2005;RS11;Beogradski region;201700;2017;Pšenica;1;požnjevena površina, ha / rodna površina, ha;25283;A;Konačan podatak;F;Slobodan za objavlјivanje;;
130102IND01;Biljna prizvodnja, od 2005;RS11;Beogradski region;201700;2017;Pšenica;2;ukupan prinos, t;90766;A;Konačan podatak;F;Slobodan za objavlјivanje;;
130102IND01;Biljna prizvodnja, od 2005;RS11;Beogradski region;201700;2017;Pšenica;3;prinos, t/ha;3.6;A;Konačan podatak;F;Slobodan za objavlјivanje;;
130102IND01;Biljna prizvodnja, od 2005;RS11;Beogradski region;201700;2017;Ječam;1;požnjevena površina, ha / rodna površina, ha;5076;A;Konačan podatak;F;Slobodan za objavlјivanje;;
130102IND01;Biljna prizvodnja, od 2005;RS11;Beogradski region;201700;2017;Ječam;2;ukupan prinos, t;18240;A;Konačan podatak;F;Slobodan za objavlјivanje;;
130102IND01;Biljna prizvodnja, od 2005;RS11;Beogradski region;201700;2017;Ječam;3;prinos, t/ha;3.6;A;Konačan podatak;F;Slobodan za objavlјivanje;;
130102IND01;Biljna prizvodnja, od 2005;RS11;Beogradski region;201700;2017;Kukuruz;1;požnjevena površina, ha / rodna površina, ha;40317;A;Konačan podatak;F;Slobodan za objavlјivanje;;
130102IND01;Biljna prizvodnja, od 2005;RS11;Beogradski region;201700;2017;Kukuruz;2;ukupan prinos, t;136763;A;Konačan podatak;F;Slobodan za objavlјivanje;;
130102IND01;Biljna prizvodnja, od 2005;RS11;Beogradski region;201700;2017;Kukuruz;3;prinos, t/ha;3.4;A;Konačan podatak;F;Slobodan za objavlјivanje;;
130102IND01;Biljna prizvodnja, od 2005;RS11;Beogradski region;201800;2018;Pšenica;1;požnjevena površina, ha / rodna površina, ha;31063;A;Konačan podatak;F;Slobodan za objavlјivanje;;
130102IND01;Biljna prizvodnja, od 2005;RS11;Beogradski region;201800;2018;Pšenica;2;ukupan prinos, t;121304;A;Konačan podatak;F;Slobodan za objavlјivanje;;
130102IND01;Biljna prizvodnja, od 2005;RS11;Beogradski region;201800;2018;Pšenica;3;prinos, t/ha;3.9;A;Konačan podatak;F;Slobodan za objavlјivanje;;
130102IND01;Biljna prizvodnja, od 2005;RS11;Beogradski region;201800;2018;Ječam;1;požnjevena površina, ha / rodna površina, ha;7883;A;Konačan podatak;F;Slobodan za objavlјivanje;;
130102IND01;Biljna prizvodnja, od 2005;RS11;Beogradski region;201800;2018;Ječam;2;ukupan prinos, t;29309;A;Konačan podatak;F;Slobodan za objavlјivanje;;
130102IND01;Biljna prizvodnja, od 2005;RS11;Beogradski region;201800;2018;Ječam;3;prinos, t/ha;3.7;A;Konačan podatak;F;Slobodan za objavlјivanje;;
130102IND01;Biljna prizvodnja, od 2005;RS11;Beogradski region;201800;2018;Kukuruz;1;požnjevena površina, ha / rodna površina, ha;32769;A;Konačan podatak;F;Slobodan za objavlјivanje;;
130102IND01;Biljna prizvodnja, od 2005;RS11;Beogradski region;201800;2018;Kukuruz;2;ukupan prinos, t;213319;A;Konačan podatak;F;Slobodan za objavlјivanje;;
130102IND01;Biljna prizvodnja, od 2005;RS11;Beogradski region;201800;2018;Kukuruz;3;prinos, t/ha;6.5;A;Konačan podatak;F;Slobodan za objavlјivanje;;
130102IND01;Biljna prizvodnja, od 2005;RS11;Beogradski region;201900;2019;Pšenica;1;požnjevena površina, ha / rodna površina, ha;29513;A;Konačan podatak;F;Slobodan za objavlјivanje;;
130102IND01;Biljna prizvodnja, od 2005;RS11;Beogradski region;201900;2019;Pšenica;2;ukupan prinos, t;112006;A;Konačan podatak;F;Slobodan za objavlјivanje;;
130102IND01;Biljna prizvodnja, od 2005;RS11;Beogradski region;201900;2019;Pšenica;3;prinos, t/ha;3.8;A;Konačan podatak;F;Slobodan za objavlјivanje;;
130102IND01;Biljna prizvodnja, od 2005;RS11;Beogradski region;201900;2019;Ječam;1;požnjevena površina, ha / rodna površina, ha;7362;A;Konačan podatak;F;Slobodan za objavlјivanje;;
