proizvod,poreklo,datum,mesto_id,cena
Pšenica p:džak 50kg,Domaće,16.09.2024,Beograd-pijaca,28.00
Pšenica p:džak 50kg,Domaće,23.09.2024,Beograd-pijaca,28.00
Pšenica p:rinfuz,Domaće,30.09.2024,Beograd-silos,24.20
Pšenica p:rinfuz,Domaće,07.10.2024,Beograd-silos,25.51
Pšenica p:džak 50kg,Domaće,07.10.2024,Beograd-pijaca,28.00
Pšenica p:rinfuz,Domaće,14.10.2024,Beograd-silos,24.89
Pšenica p:rinfuz,Domaće,21.10.2024,Beograd-silos,24.93
Pšenica p:rinfuz,Domaće,28.10.2024,Beograd-silos,25.01
Pšenica p:rinfuz,Domaće,04.11.2024,Beograd-silos,24.54
Pšenica p:rinfuz,Domaće,11.11.2024,Beograd-silos,25.30
Pšenica p:rinfuz,Domaće,18.11.2024,Beograd-silos,24.83
Pšenica p:rinfuz,Domaće,25.11.2024,Beograd-silos,24.46
Pšenica p:rinfuz,Domaće,02.12.2024,Beograd-silos,24.75
Pšenica p:rinfuz,Domaće,09.12.2024,Beograd-silos,25.05
Pšenica p:rinfuz,Domaće,16.12.2024,Beograd-silos,25.54
Pšenica p:rinfuz,Domaće,23.12.2024,Beograd-silos,25.30
Pšenica p:rinfuz,Domaće,30.12.2024,Beograd-silos,25.00
Pšenica p:rinfuz,Domaće,06.01.2025,Beograd-silos,26.14
Pšenica p:rinfuz,Domaće,13.01.2025,Beograd-silos,28.60
Pšenica p:rinfuz,Domaće,20.01.2025,Beograd-silos,27.50
Pšenica p:rinfuz,Domaće,27.01.2025,Beograd-silos,26.18
Pšenica p:rinfuz,Domaće,03.02.2025,Beograd-silos,26.58
Pšenica p:rinfuz,Domaće,10.02.2025,Beograd-silos,26.50
Pšenica p:džak 50kg,Domaće,17.02.2025,Beograd-silos,25.00
Pšenica p:rinfuz,Domaće,24.02.2025,Beograd-silos,26.95
Stočni ječam p:džak 50kg,Domaće,04.01.2010,Beograd-pijaca,12.00
Stočni ječam p:džak 50kg,Domaće,11.01.2010,Beograd-pijaca,13.00
Stočni ječam p:džak 50kg,Domaće,18.01.2010,Beograd-pijaca,14.00
Stočni ječam p:džak 50kg,Domaće,25.01.2010,Beograd-pijaca,14.00
Stočni ječam p:džak 50kg,Domaće,01.02.2010,Beograd-pijaca,14.00
Stočni ječam p:džak 50kg,Domaće,08.02.2010,Beograd-pijaca,14.00
Stočni ječam p:džak 50kg,Domaće,15.02.2010,Beograd-pijaca,14.00
Stočni ječam p:džak 50kg,Domaće,22.02.2010,Beograd-pijaca,13.00
Stočni ječam p:džak 50kg,Domaće,01.03.2010,Beograd-pijaca,13.00
Stočni ječam p:džak 50kg,Domaće,08.03.2010,Beograd-pijaca,13.00
Stočni ječam p:džak 50kg,Domaće,15.03.2010,Beograd-pijaca,14.00
Stočni ječam p:džak 50kg,Domaće,22.03.2010,Beograd-pijaca,14.00
Stočni ječam p:džak 50kg,Domaće,29.03.2010,Beograd-pijaca,13.00
Stočni ječam p:džak 50kg,Domaće,05.04.2010,Beograd-pijaca,13.00
Stočni ječam p:džak 50kg,Domaće,12.04.2010,Beograd-pijaca,13.00
Stočni ječam p:džak 50kg,Domaće,19.04.2010,Beograd-pijaca,13.00
Stočni ječam p:džak 50kg,Domaće,26.04.2010,Beograd-pijaca,14.00
Stočni ječam p:džak 50kg,Domaće,03.05.2010,Beograd-pijaca,14.00
Stočni ječam p:džak 50kg,Domaće,10.05.2010,Beograd-pijaca,14.00
Stočni ječam p:džak 50kg,Domaće,17.05.2010,Beograd-pijaca,14.00
Stočni ječam p:džak 50kg,Domaće,24.05.2010,Beograd-pijaca,14.00
Stočni ječam p:džak 50kg,Domaće,31.05.2010,Beograd-pijaca,14.00
Stočni ječam p:džak 50kg,Domaće,07.06.2010,Beograd-pijaca,14.00
Stočni ječam p:džak 50kg,Domaće,14.06.2010,Beograd-pijaca,14.00
Stočni ječam p:džak 50kg,Domaće,21.06.2010,Beograd-pijaca,14.00
Stočni ječam p:džak 50kg,Domaće,28.06.2010,Beograd-pijaca,14.00
Stočni ječam p:džak 50kg,Domaće,05.07.2010,Beograd-pijaca,15.00
Stočni ječam p:džak 50kg,Domaće,12.07.2010,Beograd-pijaca,15.00
Stočni ječam p:džak 50kg,Domaće,19.07.2010,Beograd-pijaca,15.00
Stočni ječam p:džak 50kg,Domaće,26.07.2010,Beograd-pijaca,15.00
Stočni ječam p:džak 50kg,Domaće,02.08.2010,Beograd-pijaca,15.00
Stočni ječam p:džak 50kg,Domaće,09.08.2010,Beograd-pijaca,15.00
Stočni ječam p:džak 50kg,Domaće,16.08.2010,Beograd-pijaca,15.00
Stočni ječam p:džak 50kg,Domaće,23.08.2010,Beograd-pijaca,15.00
Stočni ječam p:rinfuz,Domaće,30.08.2010,Beograd-silos,17.80
Stočni ječam p:džak 50kg,Domaće,30.08.2010,Beograd-pijaca,17.00
Stočni ječam p:rinfuz,Domaće,06.09.2010,Beograd-silos,17.30
Stočni ječam p:džak 50kg,Domaće,06.09.2010,Beograd-pijaca,17.00
Stočni ječam p:džak 50kg,Domaće,13.09.2010,Beograd-pijaca,17.00
Stočni ječam p:rinfuz,Domaće,20.09.2010,Beograd-silos,17.30
Stočni ječam p:džak 50kg,Domaće,20.09.2010,Beograd-pijaca,18.00
Stočni ječam p:džak 50kg,Domaće,27.09.2010,Beograd-pijaca,18.00
Stočni ječam p:džak 50kg,Domaće,04.10.2010,Beograd-pijaca,20.00
Stočni ječam p:džak 50kg,Domaće,11.10.2010,Beograd-pijaca,20.00
Stočni ječam p:džak 50kg,Domaće,18.10.2010,Beograd-pijaca,18.00
Stočni ječam p:džak 50kg,Domaće,25.10.2010,Beograd-pijaca,20.00
Stočni ječam p:džak 50kg,Domaće,01.11.2010,Beograd-pijaca,20.00
Stočni ječam p:džak 50kg,Domaće,08.11.2010,Beograd-pijaca,20.00
Stočni ječam p:džak 50kg,Domaće,15.11.2010,Beograd-pijaca,20.00
Stočni ječam p:džak 50kg,Domaće,22.11.2010,Beograd-pijaca,20.00
Stočni ječam p:džak 50kg,Domaće,29.11.2010,Beograd-pijaca,20.00
Stočni ječam p:džak 50kg,Domaće,06.12.2010,Beograd-pijaca,20.00
Stočni ječam p:džak 50kg,Domaće,13.12.2010,Beograd-pijaca,22.00
Stočni ječam p:džak 50kg,Domaće,20.12.2010,Beograd-pijaca,22.00
Stočni ječam p:džak 50kg,Domaće,27.12.2010,Beograd-pijaca,22.00
Stočni ječam p:džak 50kg,Domaće,31.01.2011,Beograd-pijaca,22.00
Stočni ječam p:džak 50kg,Domaće,14.02.2011,Beograd-pijaca,22.00
Stočni ječam p:džak 50kg,Domaće,21.02.2011,Beograd-pijaca,22.00
Stočni ječam p:džak 50kg,Domaće,28.02.2011,Beograd-pijaca,24.00
Stočni ječam p:džak 50kg,Domaće,07.03.2011,Beograd-pijaca,24.00
Stočni ječam p:džak 50kg,Domaće,14.03.2011,Beograd-pijaca,25.00
Stočni ječam p:džak 50kg,Domaće,21.03.2011,Beograd-pijaca,25.00
Stočni ječam p:džak 50kg,Domaće,28.03.2011,Beograd-pijaca,25.00
Stočni ječam p:džak 50kg,Domaće,04.04.2011,Beograd-pijaca,28.00
Stočni ječam p:džak 50kg,Domaće,11.04.2011,Beograd-pijaca,30.00
Stočni ječam p:džak 50kg,Domaće,18.04.2011,Beograd-pijaca,28.00
Stočni ječam p:džak 50kg,Domaće,25.04.2011,Beograd-pijaca,28.00
Stočni ječam p:džak 50kg,Domaće,02.05.2011,Beograd-pijaca,28.00
Stočni ječam p:džak 50kg,Domaće,09.05.2011,Beograd-pijaca,28.00
Stočni ječam p:džak 50kg,Domaće,16.05.2011,Beograd-pijaca,28.00
Stočni ječam p:džak 50kg,Domaće,23.05.2011,Beograd-pijaca,27.00
Stočni ječam p:džak 50kg,Domaće,30.05.2011,Beograd-pijaca,26.00
Stočni ječam p:džak 50kg,Domaće,06.06.2011,Beograd-pijaca,26.00
Stočni ječam p:džak 50kg,Domaće,13.06.2011,Beograd-pijaca,25.00
Stočni ječam p:džak 50kg,Domaće,20.06.2011,Beograd-pijaca,25.00
Stočni ječam p:džak 50kg,Domaće,27.06.2011,Beograd-pijaca,25.00
Stočni ječam p:džak 50kg,Domaće,04.07.2011,Beograd-pijaca,24.00
Stočni ječam p:džak 50kg,Domaće,11.07.2011,Beograd-pijaca,22.00
Stočni ječam p:džak 50kg,Domaće,18.07.2011,Beograd-pijaca,22.00
Stočni ječam p:džak 50kg,Domaće,25.07.2011,Beograd-pijaca,22.00
Stočni ječam p:džak 50kg,Domaće,01.08.2011,Beograd-pijaca,22.00
Stočni ječam p:džak 50kg,Domaće,08.08.2011,Beograd-pijaca,22.00
Stočni ječam p:džak 50kg,Domaće,15.08.2011,Beograd-pijaca,20.00
Stočni ječam p:džak 50kg,Domaće,22.08.2011,Beograd-pijaca,23.00
Stočni ječam p:džak 50kg,Domaće,29.08.2011,Beograd-pijaca,23.00
Stočni ječam p:džak 50kg,Domaće,05.09.2011,Beograd-pijaca,23.00
Stočni ječam p:džak 50kg,Domaće,12.09.2011,Beograd-pijaca,23.00
Stočni ječam p:džak 50kg,Domaće,19.09.2011,Beograd-pijaca,24.00
Stočni ječam p:džak 50kg,Domaće,26.09.2011,Beograd-pijaca,24.00
Stočni ječam p:džak 50kg,Domaće,03.10.2011,Beograd-pijaca,24.00
Stočni ječam p:džak 50kg,Domaće,10.10.2011,Beograd-pijaca,24.00
Stočni ječam p:džak 50kg,Domaće,17.10.2011,Beograd-pijaca,24.00
Stočni ječam p:džak 50kg,Domaće,24.10.2011,Beograd-pijaca,24.00
Stočni ječam p:džak 50kg,Domaće,31.10.2011,Beograd-pijaca,24.00
Stočni ječam p:džak 50kg,Domaće,07.11.2011,Beograd-pijaca,24.00
Stočni ječam p:džak 50kg,Domaće,14.11.2011,Beograd-pijaca,24.00
Stočni ječam p:džak 50kg,Domaće,21.11.2011,Beograd-pijaca,24.00
Stočni ječam p:džak 50kg,Domaće,28.11.2011,Beograd-pijaca,24.00
Stočni ječam p:džak 50kg,Domaće,05.12.2011,Beograd-pijaca,24.00
Stočni ječam p:džak 50kg,Domaće,12.12.2011,Beograd-pijaca,24.00
Stočni ječam p:džak 50kg,Domaće,19.12.2011,Beograd-pijaca,24.00
Stočni ječam p:džak 50kg,Domaće,26.12.2011,Beograd-pijaca,24.00
Stočni ječam p:džak 50kg,Domaće,02.01.2012,Beograd-pijaca,24.00
Stočni ječam p:džak 50kg,Domaće,16.01.2012,Beograd-pijaca,24.00
Stočni ječam p:džak 50kg,Domaće,23.01.2012,Beograd-pijaca,24.00
Stočni ječam p:džak 50kg,Domaće,30.01.2012,Beograd-pijaca,24.00
Stočni ječam p:džak 50kg,Domaće,06.02.2012,Beograd-pijaca,24.00
Stočni ječam p:džak 50kg,Domaće,13.02.2012,Beograd-pijaca,24.00
Stočni ječam p:džak 50kg,Domaće,20.02.2012,Beograd-pijaca,24.00
Stočni ječam p:džak 50kg,Domaće,27.02.2012,Beograd-maloprodaja,25.00
Stočni ječam p:džak 50kg,Domaće,27.02.2012,Beograd-pijaca,25.00
Stočni ječam p:džak 50kg,Domaće,05.03.2012,Beograd-pijaca,25.00
Stočni ječam p:džak 50kg,Domaće,12.03.2012,Beograd-pijaca,25.00
Stočni ječam p:džak 50kg,Domaće,19.03.2012,Beograd-pijaca,25.00
Stočni ječam p:džak 50kg,Domaće,26.03.2012,Beograd-pijaca,25.00
Stočni ječam p:džak 50kg,Domaće,02.04.2012,Beograd-pijaca,25.00
Stočni ječam p:džak 50kg,Domaće,09.04.2012,Beograd-pijaca,25.00
Stočni ječam p:džak 50kg,Domaće,16.04.2012,Beograd-pijaca,26.00
Stočni ječam p:džak 50kg,Domaće,23.04.2012,Beograd-pijaca,26.00
Stočni ječam p:džak 50kg,Domaće,30.04.2012,Beograd-pijaca,26.00
Stočni ječam p:džak 50kg,Domaće,07.05.2012,Beograd-pijaca,26.00
Stočni ječam p:džak 50kg,Domaće,14.05.2012,Beograd-pijaca,26.00
Stočni ječam p:džak 50kg,Domaće,21.05.2012,Beograd-pijaca,26.00
Stočni ječam p:džak 50kg,Domaće,28.05.2012,Beograd-pijaca,26.00
Stočni ječam p:džak 50kg,Domaće,04.06.2012,Beograd-pijaca,26.00
Stočni ječam p:džak 50kg,Domaće,11.06.2012,Beograd-pijaca,25.00
Stočni ječam p:džak 50kg,Domaće,18.06.2012,Beograd-pijaca,25.00
Stočni ječam p:džak 50kg,Domaće,25.06.2012,Beograd-pijaca,24.00
Stočni ječam p:džak 50kg,Domaće,02.07.2012,Beograd-pijaca,24.00
Stočni ječam p:džak 50kg,Domaće,09.07.2012,Beograd-pijaca,23.00
Stočni ječam p:džak 50kg,Domaće,16.07.2012,Beograd-pijaca,24.00
Stočni ječam p:džak 50kg,Domaće,23.07.2012,Beograd-pijaca,24.00
Stočni ječam p:džak 50kg,Domaće,30.07.2012,Beograd-pijaca,24.00
Stočni ječam p:džak 50kg,Domaće,06.08.2012,Beograd-pijaca,24.00
Stočni ječam p:džak 50kg,Domaće,13.08.2012,Beograd-pijaca,24.00
Stočni ječam p:džak 50kg,Domaće,20.08.2012,Beograd-pijaca,28.00
Stočni ječam p:džak 50kg,Domaće,27.08.2012,Beograd-pijaca,26.00
Stočni ječam p:džak 50kg,Domaće,03.09.2012,Beograd-pijaca,28.00
Stočni ječam p:džak 50kg,Domaće,10.09.2012,Beograd-pijaca,28.00
Stočni ječam p:džak 50kg,Domaće,17.09.2012,Beograd-pijaca,28.00
Stočni ječam p:džak 50kg,Domaće,24.09.2012,Beograd-pijaca,30.00
Stočni ječam p:džak 50kg,Domaće,01.10.2012,Beograd-pijaca,30.00
Stočni ječam p:džak 50kg,Domaće,08.10.2012,Beograd-pijaca,32.00
Stočni ječam p:džak 50kg,Domaće,15.10.2012,Beograd-pijaca,32.00
Stočni ječam p:džak 50kg,Domaće,22.10.2012,Beograd-pijaca,33.00
Stočni ječam p:džak 50kg,Domaće,29.10.2012,Beograd-pijaca,32.00
Stočni ječam p:džak 50kg,Domaće,05.11.2012,Beograd-pijaca,33.00
Stočni ječam p:džak 50kg,Domaće,12.11.2012,Beograd-pijaca,30.00
Stočni ječam p:džak 50kg,Domaće,19.11.2012,Beograd-pijaca,34.00
Stočni ječam p:džak 50kg,Domaće,26.11.2012,Beograd-pijaca,34.00
Stočni ječam p:džak 50kg,Domaće,03.12.2012,Beograd-pijaca,34.00
Stočni ječam p:džak 50kg,Domaće,10.12.2012,Beograd-pijaca,34.00
Stočni ječam p:džak 50kg,Domaće,17.12.2012,Beograd-pijaca,34.00
Stočni ječam p:džak 50kg,Domaće,24.12.2012,Beograd-maloprodaja,34.00
Stočni ječam p:džak 50kg,Domaće,24.12.2012,Beograd-pijaca,34.00
Stočni ječam p:džak 50kg,Domaće,31.12.2012,Beograd-pijaca,34.00
Stočni ječam p:džak 50kg,Domaće,07.01.2013,Beograd-pijaca,34.00
Stočni ječam p:džak 50kg,Domaće,14.01.2013,Beograd-pijaca,34.00
Stočni ječam p:džak 50kg,Domaće,21.01.2013,Beograd-pijaca,34.00
Stočni ječam p:džak 50kg,Domaće,28.01.2013,Beograd-pijaca,34.00
Stočni ječam p:džak 50kg,Domaće,04.02.2013,Beograd-pijaca,34.00
Stočni ječam p:džak 50kg,Domaće,11.02.2013,Beograd-pijaca,32.00
Stočni ječam p:džak 50kg,Domaće,18.02.2013,Beograd-pijaca,32.00
Stočni ječam p:džak 50kg,Domaće,25.02.2013,Beograd-pijaca,32.00
Stočni ječam p:džak 50kg,Domaće,04.03.2013,Beograd-pijaca,30.00
Stočni ječam p:džak 50kg,Domaće,11.03.2013,Beograd-pijaca,30.00
Stočni ječam p:džak 50kg,Domaće,18.03.2013,Beograd-pijaca,30.00
Stočni ječam p:džak 50kg,Domaće,25.03.2013,Beograd-pijaca,30.00
Stočni ječam p:džak 50kg,Domaće,01.04.2013,Beograd-pijaca,30.00
Stočni ječam p:džak 50kg,Domaće,08.04.2013,Beograd-pijaca,30.00
Stočni ječam p:džak 50kg,Domaće,15.04.2013,Beograd-pijaca,30.00
Stočni ječam p:džak 50kg,Domaće,22.04.2013,Beograd-pijaca,30.00
Stočni ječam p:džak 50kg,Domaće,29.04.2013,Beograd-pijaca,30.00
Stočni ječam p:džak 50kg,Domaće,06.05.2013,Beograd-pijaca,32.00
Stočni ječam p:džak 50kg,Domaće,13.05.2013,Beograd-pijaca,32.00
Stočni ječam p:džak 50kg,Domaće,20.05.2013,Beograd-pijaca,32.00
Stočni ječam p:džak 50kg,Domaće,27.05.2013,Beograd-pijaca,30.00
Stočni ječam p:džak 50kg,Domaće,03.06.2013,Beograd-pijaca,30.00
Stočni ječam p:džak 50kg,Domaće,10.06.2013,Beograd-pijaca,30.00
Stočni ječam p:džak 50kg,Domaće,17.06.2013,Beograd-pijaca,30.00
Stočni ječam p:džak 50kg,Domaće,24.06.2013,Beograd-pijaca,25.00
Stočni ječam p:džak 50kg,Domaće,01.07.2013,Beograd-pijaca,23.00
Stočni ječam p:džak 50kg,Domaće,08.07.2013,Beograd-maloprodaja,
Stočni ječam p:džak 50kg,Domaće,08.07.2013,Beograd-pijaca,22.00
Stočni ječam p:džak 50kg,Domaće,15.07.2013,Beograd-pijaca,20.00
Stočni ječam p:džak 50kg,Domaće,22.07.2013,Beograd-pijaca,20.00
Stočni ječam p:džak 50kg,Domaće,29.07.2013,Beograd-pijaca,20.00
Stočni ječam p:džak 50kg,Domaće,05.08.2013,Beograd-pijaca,20.00
Stočni ječam p:džak 50kg,Domaće,12.08.2013,Beograd-pijaca,20.00
Stočni ječam p:džak 50kg,Domaće,19.08.2013,Beograd-pijaca,20.00
Stočni ječam p:džak 50kg,Domaće,26.08.2013,Beograd-pijaca,20.00
Stočni ječam p:džak 50kg,Domaće,02.09.2013,Beograd-pijaca,20.00
Stočni ječam p:džak 50kg,Domaće,09.09.2013,Beograd-pijaca,20.00
Stočni ječam p:džak 50kg,Domaće,16.09.2013,Beograd-pijaca,20.00
Stočni ječam p:džak 50kg,Domaće,23.09.2013,Beograd-pijaca,20.00
Stočni ječam p:džak 50kg,Domaće,30.09.2013,Beograd-pijaca,20.00
Stočni ječam p:džak 50kg,Domaće,07.10.2013,Beograd-pijaca,20.00
Stočni ječam p:džak 50kg,Domaće,14.10.2013,Beograd-pijaca,20.00
Stočni ječam p:džak 50kg,Domaće,21.10.2013,Beograd-pijaca,20.00
Stočni ječam p:džak 50kg,Domaće,28.10.2013,Beograd-pijaca,20.00
Stočni ječam p:džak 50kg,Domaće,04.11.2013,Beograd-pijaca,20.00
Stočni ječam p:džak 50kg,Domaće,11.11.2013,Beograd-pijaca,20.00
Stočni ječam p:džak 50kg,Domaće,18.11.2013,Beograd-pijaca,20.00
Stočni ječam p:džak 50kg,Domaće,25.11.2013,Beograd-pijaca,20.00
Stočni ječam p:džak 50kg,Domaće,02.12.2013,Beograd-pijaca,20.00
Stočni ječam p:džak 50kg,Domaće,09.12.2013,Beograd-pijaca,20.00
Stočni ječam p:džak 50kg,Domaće,16.12.2013,Beograd-pijaca,20.00
Stočni ječam p:džak 50kg,Domaće,23.12.2013,Beograd-pijaca,20.00
Stočni ječam p:džak 50kg,Domaće,30.12.2013,Beograd-pijaca,20.00
Stočni ječam p:džak 50kg,Domaće,06.01.2014,Beograd-pijaca,20.00
Stočni ječam p:džak 50kg,Domaće,13.01.2014,Beograd-pijaca,20.00
Stočni ječam p:džak 50kg,Domaće,20.01.2014,Beograd-pijaca,20.00
Stočni ječam p:džak 50kg,Domaće,27.01.2014,Beograd-pijaca,20.00
Stočni ječam p:džak 50kg,Domaće,03.02.2014,Beograd-pijaca,20.00
Stočni ječam p:džak 50kg,Domaće,10.02.2014,Beograd-pijaca,20.00
Stočni ječam p:džak 50kg,Domaće,17.02.2014,Beograd-pijaca,20.00
Stočni ječam p:džak 50kg,Domaće,24.02.2014,Beograd-pijaca,20.00
Stočni ječam p:džak 50kg,Domaće,03.03.2014,Beograd-pijaca,20.00
Stočni ječam p:džak 50kg,Domaće,10.03.2014,Beograd-pijaca,20.00
Stočni ječam p:džak 50kg,Domaće,17.03.2014,Beograd-pijaca,20.00
Stočni ječam p:džak 50kg,Domaće,24.03.2014,Beograd-pijaca,20.00
Stočni ječam p:džak 50kg,Domaće,31.03.2014,Beograd-pijaca,20.00
Stočni ječam p:džak 50kg,Domaće,07.04.2014,Beograd-pijaca,20.00
Stočni ječam p:džak 50kg,Domaće,14.04.2014,Beograd-pijaca,20.00
Stočni ječam p:džak 50kg,Domaće,21.04.2014,Beograd-pijaca,20.00
Stočni ječam p:džak 50kg,Domaće,28.04.2014,Beograd-pijaca,20.00
Stočni ječam p:džak 50kg,Domaće,05.05.2014,Beograd-pijaca,21.00
Stočni ječam p:džak 50kg,Domaće,12.05.2014,Beograd-pijaca,20.00
Stočni ječam p:džak 50kg,Domaće,21.07.2014,Beograd-pijaca,20.00
Stočni ječam p:džak 50kg,Domaće,28.07.2014,Beograd-pijaca,20.00
Stočni ječam p:džak 50kg,Domaće,04.08.2014,Beograd-pijaca,20.00
Stočni ječam p:džak 50kg,Domaće,11.08.2014,Beograd-pijaca,20.00
Stočni ječam p:džak 50kg,Domaće,18.08.2014,Beograd-pijaca,20.00
Stočni ječam p:džak 50kg,Domaće,25.08.2014,Beograd-pijaca,20.00
Stočni ječam p:džak 50kg,Domaće,01.09.2014,Beograd-pijaca,20.00
Stočni ječam p:džak 50kg,Domaće,08.09.2014,Beograd-pijaca,20.00
Stočni ječam p:džak 50kg,Domaće,15.09.2014,Beograd-pijaca,20.00
Stočni ječam p:džak 50kg,Domaće,22.09.2014,Beograd-pijaca,20.00
Stočni ječam p:džak 50kg,Domaće,29.09.2014,Beograd-pijaca,20.00
Stočni ječam p:džak 50kg,Domaće,06.10.2014,Beograd-pijaca,20.00
Stočni ječam p:džak 50kg,Domaće,13.10.2014,Beograd-pijaca,20.00
Stočni ječam p:džak 50kg,Domaće,20.10.2014,Beograd-pijaca,20.00
Stočni ječam p:džak 50kg,Domaće,27.10.2014,Beograd-pijaca,20.00
Stočni ječam p:džak 50kg,Domaće,03.11.2014,Beograd-pijaca,20.00
Stočni ječam p:džak 50kg,Domaće,10.11.2014,Beograd-pijaca,20.00
Stočni ječam p:džak 50kg,Domaće,17.11.2014,Beograd-pijaca,20.00
Stočni ječam p:džak 50kg,Domaće,24.11.2014,Beograd-pijaca,20.00
Stočni ječam p:džak 50kg,Domaće,01.12.2014,Beograd-pijaca,20.00
Stočni ječam p:džak 50kg,Domaće,08.12.2014,Beograd-pijaca,20.00
Stočni ječam p:džak 50kg,Domaće,15.12.2014,Beograd-pijaca,20.00
Stočni ječam p:džak 50kg,Domaće,22.12.2014,Beograd-pijaca,22.00
Stočni ječam p:džak 50kg,Domaće,29.12.2014,Beograd-pijaca,22.00
Stočni ječam p:džak 50kg,Domaće,12.01.2015,Beograd-pijaca,23.00
Stočni ječam p:džak 50kg,Domaće,19.01.2015,Beograd-pijaca,23.00
Stočni ječam p:džak 50kg,Domaće,02.02.2015,Beograd-pijaca,24.00
Stočni ječam p:džak 50kg,Domaće,09.02.2015,Beograd-pijaca,25.00
Stočni ječam p:džak 50kg,Domaće,16.02.2015,Beograd-pijaca,25.00
Stočni ječam p:džak 50kg,Domaće,23.02.2015,Beograd-pijaca,24.00
Stočni ječam p:džak 50kg,Domaće,02.03.2015,Beograd-pijaca,23.00
Stočni ječam p:džak 50kg,Domaće,09.03.2015,Beograd-pijaca,23.00
Stočni ječam p:džak 50kg,Domaće,23.03.2015,Beograd-pijaca,24.00
Stočni ječam p:džak 50kg,Domaće,30.03.2015,Beograd-pijaca,24.00
Stočni ječam p:džak 50kg,Domaće,06.04.2015,Beograd-pijaca,23.00
Stočni ječam p:džak 50kg,Domaće,13.04.2015,Beograd-pijaca,22.00
Stočni ječam p:džak 50kg,Domaće,27.04.2015,Beograd-pijaca,24.00
Stočni ječam p:džak 50kg,Domaće,04.05.2015,Beograd-pijaca,24.00
Stočni ječam p:džak 50kg,Domaće,11.05.2015,Beograd-pijaca,24.00
Stočni ječam p:džak 50kg,Domaće,18.05.2015,Beograd-pijaca,24.00
Stočni ječam p:džak 50kg,Domaće,25.05.2015,Beograd-pijaca,24.00
Stočni ječam p:džak 50kg,Domaće,01.06.2015,Beograd-pijaca,24.00
Stočni ječam p:džak 50kg,Domaće,08.06.2015,Beograd-pijaca,23.00
Stočni ječam p:džak 50kg,Domaće,15.06.2015,Beograd-pijaca,24.00
Stočni ječam p:džak 50kg,Domaće,22.06.2015,Beograd-pijaca,24.00
Stočni ječam p:džak 50kg,Domaće,29.06.2015,Beograd-pijaca,20.00
Stočni ječam p:džak 50kg,Domaće,06.07.2015,Beograd-pijaca,20.00
Stočni ječam p:džak 50kg,Domaće,13.07.2015,Beograd-pijaca,20.00
Stočni ječam p:džak 50kg,Domaće,20.07.2015,Beograd-pijaca,20.00
Stočni ječam p:džak 50kg,Domaće,27.07.2015,Beograd-pijaca,20.00
Stočni ječam p:džak 50kg,Domaće,03.08.2015,Beograd-pijaca,20.00
Stočni ječam p:džak 50kg,Domaće,10.08.2015,Beograd-pijaca,20.00
Stočni ječam p:džak 50kg,Domaće,17.08.2015,Beograd-pijaca,22.00
Stočni ječam p:džak 50kg,Domaće,24.08.2015,Beograd-pijaca,22.00
Stočni ječam p:džak 50kg,Domaće,31.08.2015,Beograd-pijaca,22.00
Stočni ječam p:džak 50kg,Domaće,07.09.2015,Beograd-pijaca,22.00
Stočni ječam p:džak 50kg,Domaće,14.09.2015,Beograd-pijaca,22.00
Stočni ječam p:džak 50kg,Domaće,21.09.2015,Beograd-pijaca,22.00
Stočni ječam p:džak 50kg,Domaće,28.09.2015,Beograd-pijaca,22.00
Stočni ječam p:džak 50kg,Domaće,05.10.2015,Beograd-pijaca,22.00
Stočni ječam p:džak 50kg,Domaće,12.10.2015,Beograd-pijaca,24.00
Stočni ječam p:džak 50kg,Domaće,19.10.2015,Beograd-pijaca,24.00
Stočni ječam p:džak 50kg,Domaće,26.10.2015,Beograd-pijaca,24.00
Stočni ječam p:džak 50kg,Domaće,02.11.2015,Beograd-pijaca,24.00
Stočni ječam p:džak 50kg,Domaće,09.11.2015,Beograd-pijaca,26.00
Stočni ječam p:džak 50kg,Domaće,16.11.2015,Beograd-pijaca,26.00
Stočni ječam p:džak 50kg,Domaće,23.11.2015,Beograd-pijaca,26.00
Stočni ječam p:džak 50kg,Domaće,30.11.2015,Beograd-pijaca,26.00
Stočni ječam p:džak 50kg,Domaće,07.12.2015,Beograd-pijaca,24.00
Stočni ječam p:džak 50kg,Domaće,14.12.2015,Beograd-pijaca,26.00
Stočni ječam p:džak 50kg,Domaće,21.12.2015,Beograd-pijaca,24.00
Stočni ječam p:džak 50kg,Domaće,28.12.2015,Beograd-pijaca,26.00
Stočni ječam p:džak 50kg,Domaće,04.01.2016,Beograd-pijaca,24.00
Stočni ječam p:džak 50kg,Domaće,11.01.2016,Beograd-pijaca,24.00
Stočni ječam p:džak 50kg,Domaće,18.01.2016,Beograd-pijaca,24.00
Stočni ječam p:džak 50kg,Domaće,25.01.2016,Beograd-pijaca,24.00
Stočni ječam p:džak 50kg,Domaće,01.02.2016,Beograd-pijaca,24.00
Stočni ječam p:džak 50kg,Domaće,15.02.2016,Beograd-pijaca,24.00
Stočni ječam p:džak 50kg,Domaće,22.02.2016,Beograd-pijaca,24.00
Stočni ječam p:džak 50kg,Domaće,29.02.2016,Beograd-pijaca,24.00
Stočni ječam p:džak 50kg,Domaće,14.03.2016,Beograd-pijaca,22.00
Stočni ječam p:džak 50kg,Domaće,21.03.2016,Beograd-pijaca,24.00
