proizvod,poreklo,datum,mesto_id,cena
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,03.01.2011,Beograd-pijaca,18.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,10.01.2011,Beograd-pijaca,20.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,17.01.2011,Beograd-pijaca,20.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,24.01.2011,Beograd-pijaca,20.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,31.01.2011,Beograd-pijaca,20.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,07.02.2011,Beograd-pijaca,20.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,14.02.2011,Beograd-pijaca,20.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,21.02.2011,Beograd-pijaca,20.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,28.02.2011,Beograd-pijaca,22.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,07.03.2011,Beograd-pijaca,22.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,14.03.2011,Beograd-pijaca,20.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,21.03.2011,Beograd-pijaca,20.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,28.03.2011,Beograd-pijaca,20.00
"Kukuruz (okrunjen, veštački sušen) p:džak 50kg",Domaće,04.04.2011,Beograd-pijaca,20.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,11.04.2011,Beograd-pijaca,20.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,18.04.2011,Beograd-pijaca,20.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,25.04.2011,Beograd-pijaca,22.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,02.05.2011,Beograd-pijaca,24.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,09.05.2011,Beograd-pijaca,24.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,16.05.2011,Beograd-pijaca,24.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,23.05.2011,Beograd-pijaca,24.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,30.05.2011,Beograd-pijaca,22.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,06.06.2011,Beograd-pijaca,22.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,13.06.2011,Beograd-pijaca,22.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,20.06.2011,Beograd-pijaca,22.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,27.06.2011,Beograd-pijaca,22.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,04.07.2011,Beograd-pijaca,24.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,11.07.2011,Beograd-pijaca,24.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,18.07.2011,Beograd-pijaca,25.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,25.07.2011,Beograd-pijaca,26.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,01.08.2011,Beograd-pijaca,26.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,08.08.2011,Beograd-pijaca,26.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,15.08.2011,Beograd-pijaca,26.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,22.08.2011,Beograd-pijaca,25.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,29.08.2011,Beograd-pijaca,23.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,05.09.2011,Beograd-pijaca,24.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,12.09.2011,Beograd-pijaca,22.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,19.09.2011,Beograd-pijaca,22.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,26.09.2011,Beograd-pijaca,22.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,03.10.2011,Beograd-pijaca,22.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,10.10.2011,Beograd-pijaca,22.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,17.10.2011,Beograd-pijaca,20.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,24.10.2011,Beograd-pijaca,18.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,31.10.2011,Beograd-pijaca,18.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,07.11.2011,Beograd-pijaca,18.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,14.11.2011,Beograd-pijaca,18.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,21.11.2011,Beograd-pijaca,18.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,28.11.2011,Beograd-pijaca,18.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,05.12.2011,Beograd-pijaca,20.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,12.12.2011,Beograd-pijaca,20.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,19.12.2011,Beograd-pijaca,18.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,26.12.2011,Beograd-pijaca,18.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,02.01.2012,Beograd-pijaca,20.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,16.01.2012,Beograd-pijaca,20.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,23.01.2012,Beograd-pijaca,20.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,30.01.2012,Beograd-pijaca,20.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,06.02.2012,Beograd-pijaca,20.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,13.02.2012,Beograd-pijaca,20.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,20.02.2012,Beograd-pijaca,20.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,27.02.2012,Beograd-maloprodaja,22.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,27.02.2012,Beograd-pijaca,22.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,05.03.2012,Beograd-pijaca,22.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,12.03.2012,Beograd-pijaca,21.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,19.03.2012,Beograd-pijaca,20.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,26.03.2012,Beograd-pijaca,20.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,02.04.2012,Beograd-pijaca,20.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,09.04.2012,Beograd-pijaca,22.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,16.04.2012,Beograd-pijaca,22.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,23.04.2012,Beograd-pijaca,22.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,30.04.2012,Beograd-pijaca,22.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,07.05.2012,Beograd-pijaca,22.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,14.05.2012,Beograd-pijaca,22.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,21.05.2012,Beograd-pijaca,22.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,28.05.2012,Beograd-pijaca,22.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,04.06.2012,Beograd-pijaca,24.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,11.06.2012,Beograd-pijaca,24.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,18.06.2012,Beograd-pijaca,24.00
"Kukuruz (okrunjen, prirodno sušen) p:džak 50kg",Domaće,25.06.2012,Beograd-pijaca,24.00
